week,event_key,model,accuracy,num_matches
4,2025hiho,log_reg,0.7654320987654321,81
4,2025ilpe,log_reg,0.788235294117647,85
4,2025inlaf,log_reg,0.7272727272727273,99
4,2025ksla,log_reg,0.735632183908046,87
4,2025mawor,log_reg,0.7802197802197802,91
4,2025mibro,log_reg,0.7021276595744681,94
4,2025milsu,log_reg,0.7956989247311828,93
4,2025mimas,log_reg,0.7395833333333334,96
4,2025misal,log_reg,0.8131868131868132,91
4,2025mitry,log_reg,0.8041237113402062,97
4,2025miwmi,log_reg,0.8105263157894737,95
4,2025mxto,log_reg,0.7764705882352941,85
4,2025ncgre,log_reg,0.726027397260274,73
4,2025ncmec,log_reg,0.8309859154929577,71
4,2025nhdur,log_reg,0.7684210526315789,95
4,2025njwas,log_reg,0.775,80
4,2025nyli2,log_reg,0.78125,96
4,2025oktu,log_reg,0.8095238095238095,84
4,2025onnob,log_reg,0.7088607594936709,79
4,2025ontor,log_reg,0.8309859154929577,71
4,2025onwat,log_reg,0.8266666666666667,75
4,2025orwil,log_reg,0.6867469879518072,83
4,2025paben,log_reg,0.7777777777777778,81
4,2025paca,log_reg,0.7684210526315789,95
4,2025sccha,log_reg,0.7261904761904762,84
4,2025txfor,log_reg,0.7411764705882353,85
4,2025txhou,log_reg,0.7142857142857143,77
4,2025vaale,log_reg,0.6483516483516484,91
4,2025vabla,log_reg,0.7272727272727273,77
4,2025waahs,log_reg,0.7931034482758621,87
4,2025wila,log_reg,0.7717391304347826,92
5,2025capt,knn,0.7894736842105263,95
5,2025cthar,knn,0.6559139784946236,93
5,2025gaalb,knn,0.7014925373134329,67
5,2025iacf,knn,0.7065217391304348,92
5,2025idbo,knn,0.6956521739130435,92
5,2025ilch,knn,0.6162790697674418,86
5,2025inwas,knn,0.7058823529411765,68
5,2025iscmp,knn,0.6263736263736264,91
5,2025mibig,knn,0.6464646464646465,99
5,2025midet,knn,0.7096774193548387,93
5,2025miken,knn,0.7684210526315789,95
5,2025miliv,knn,0.7526881720430108,93
5,2025mimcc,knn,0.6129032258064516,93
5,2025mimid,knn,0.7157894736842105,95
5,2025mnmi,knn,0.5978260869565217,92
5,2025mokc,knn,0.5925925925925926,81
5,2025ncpem,knn,0.6753246753246753,77
5,2025njski,knn,0.6962025316455697,79
5,2025nvlv,knn,0.8222222222222222,90
5,2025nytr,knn,0.6262626262626263,99
5,2025ohmv,knn,0.7127659574468085,94
5,2025onham,knn,0.8051948051948052,77
5,2025onwin,knn,0.6301369863013698,73
5,2025pawar,knn,0.7333333333333333,75
5,2025txama,knn,0.6206896551724138,87
5,2025txcle,knn,0.7349397590361446,83
5,2025vtbur,knn,0.6962025316455697,79
5,2025wimu,knn,0.6236559139784946,93
5,2025capt,random_forest,0.8210526315789474,95
5,2025cthar,random_forest,0.8064516129032258,93
5,2025gaalb,random_forest,0.8059701492537313,67
5,2025iacf,random_forest,0.782608695652174,92
5,2025idbo,random_forest,0.717391304347826,92
5,2025ilch,random_forest,0.8372093023255814,86
5,2025inwas,random_forest,0.7647058823529411,68
5,2025iscmp,random_forest,0.7252747252747253,91
5,2025mibig,random_forest,0.7676767676767676,99
5,2025midet,random_forest,0.7956989247311828,93
5,2025miken,random_forest,0.7473684210526316,95
5,2025miliv,random_forest,0.7956989247311828,93
5,2025mimcc,random_forest,0.7204301075268817,93
5,2025mimid,random_forest,0.8315789473684211,95
5,2025mnmi,random_forest,0.7065217391304348,92
5,2025mokc,random_forest,0.6790123456790124,81
5,2025ncpem,random_forest,0.7792207792207793,77
5,2025njski,random_forest,0.7974683544303798,79
5,2025nvlv,random_forest,0.8666666666666667,90
5,2025nytr,random_forest,0.6666666666666666,99
5,2025ohmv,random_forest,0.7659574468085106,94
5,2025onham,random_forest,0.8571428571428571,77
5,2025onwin,random_forest,0.684931506849315,73
5,2025pawar,random_forest,0.7733333333333333,75
5,2025txama,random_forest,0.735632183908046,87
5,2025txcle,random_forest,0.8192771084337349,83
5,2025vtbur,random_forest,0.7974683544303798,79
5,2025wimu,random_forest,0.6881720430107527,93
5,2025capt,log_reg,0.8,95
5,2025cthar,log_reg,0.7634408602150538,93
5,2025gaalb,log_reg,0.7761194029850746,67
5,2025iacf,log_reg,0.7608695652173914,92
5,2025idbo,log_reg,0.6956521739130435,92
5,2025ilch,log_reg,0.7906976744186046,86
5,2025inwas,log_reg,0.6911764705882353,68
5,2025iscmp,log_reg,0.7032967032967034,91
5,2025mibig,log_reg,0.7474747474747475,99
5,2025midet,log_reg,0.7849462365591398,93
