week,event_key,model,num_matches,accuracy
5,2025vtbur,xgboost,79,0.8607594936708861
5,2025wimu,lightgbm,93,0.7096774193548387
5,2025wimu,log_reg,93,0.6989247311827957
5,2025wimu,xgboost,93,0.7526881720430108
6,2025caav,lightgbm,90,0.7555555555555555
6,2025caav,log_reg,90,0.7555555555555555
6,2025caav,xgboost,90,0.7444444444444445
6,2025cabe,lightgbm,98,0.826530612244898
6,2025cabe,log_reg,98,0.826530612244898
6,2025cabe,xgboost,98,0.7857142857142857
6,2025cafr,lightgbm,92,0.7934782608695652
6,2025cafr,log_reg,92,0.7934782608695652
6,2025cafr,xgboost,92,0.782608695652174
6,2025chcmp,lightgbm,123,0.6829268292682927
6,2025chcmp,log_reg,123,0.6585365853658537
6,2025chcmp,xgboost,123,0.6666666666666666
6,2025flwp,lightgbm,89,0.7752808988764045
6,2025flwp,log_reg,89,0.797752808988764
6,2025flwp,xgboost,89,0.7640449438202247
6,2025gacmp,lightgbm,105,0.7428571428571429
6,2025gacmp,log_reg,105,0.7523809523809524
6,2025gacmp,xgboost,105,0.7238095238095238
6,2025incmp,lightgbm,92,0.7608695652173914
6,2025incmp,log_reg,92,0.7934782608695652
6,2025incmp,xgboost,92,0.7717391304347826
6,2025lake,lightgbm,98,0.7653061224489796
6,2025lake,log_reg,98,0.7755102040816326
6,2025lake,xgboost,98,0.8061224489795918
6,2025micmp,lightgbm,8,0.75
6,2025micmp,log_reg,8,0.75
6,2025micmp,xgboost,8,0.75
6,2025micmp1,lightgbm,95,0.7263157894736842
6,2025micmp1,log_reg,95,0.7578947368421053
6,2025micmp1,xgboost,95,0.7578947368421053
6,2025micmp2,lightgbm,96,0.6666666666666666
6,2025micmp2,log_reg,96,0.625
6,2025micmp2,xgboost,96,0.6875
6,2025micmp3,lightgbm,95,0.7368421052631579
6,2025micmp3,log_reg,95,0.7263157894736842
6,2025micmp3,xgboost,95,0.7263157894736842
6,2025micmp4,lightgbm,95,0.7578947368421053
6,2025micmp4,log_reg,95,0.7684210526315789
6,2025micmp4,xgboost,95,0.7578947368421053
6,2025mnmi2,lightgbm,95,0.7368421052631579
6,2025mnmi2,log_reg,95,0.7368421052631579
6,2025mnmi2,xgboost,95,0.7263157894736842
6,2025mnum,lightgbm,94,0.7553191489361702
6,2025mnum,log_reg,94,0.7553191489361702
6,2025mnum,xgboost,94,0.7553191489361702
6,2025mrcmp,lightgbm,136,0.7279411764705882
6,2025mrcmp,log_reg,136,0.6911764705882353
6,2025mrcmp,xgboost,136,0.6911764705882353
6,2025nccmp,lightgbm,95,0.6210526315789474
6,2025nccmp,log_reg,95,0.6105263157894737
6,2025nccmp,xgboost,95,0.631578947368421
6,2025necmp,lightgbm,2,0.0
6,2025necmp,log_reg,2,0.0
6,2025necmp,xgboost,2,0.0
6,2025necmp1,lightgbm,112,0.75
6,2025necmp1,log_reg,112,0.7410714285714286
6,2025necmp1,xgboost,112,0.7321428571428571
6,2025necmp2,lightgbm,112,0.6875
6,2025necmp2,log_reg,112,0.6964285714285714
6,2025necmp2,xgboost,112,0.6696428571428571
6,2025nyny,lightgbm,95,0.7684210526315789
6,2025nyny,log_reg,95,0.7684210526315789
6,2025nyny,xgboost,95,0.7789473684210526
6,2025ohcl,lightgbm,109,0.7155963302752294
6,2025ohcl,log_reg,109,0.7247706422018348
6,2025ohcl,xgboost,109,0.7431192660550459
6,2025okok,lightgbm,95,0.7473684210526316
6,2025okok,log_reg,95,0.7263157894736842
6,2025okok,xgboost,95,0.7473684210526316
6,2025oncmp,lightgbm,2,1.0
6,2025oncmp,log_reg,2,1.0
6,2025oncmp,xgboost,2,1.0
6,2025oncmp1,lightgbm,116,0.7758620689655172
6,2025oncmp1,log_reg,116,0.7758620689655172
6,2025oncmp1,xgboost,116,0.7931034482758621
6,2025oncmp2,lightgbm,115,0.8608695652173913
6,2025oncmp2,log_reg,115,0.8695652173913043
6,2025oncmp2,xgboost,115,0.8521739130434782
6,2025pncmp,lightgbm,115,0.6869565217391305
6,2025pncmp,log_reg,115,0.7217391304347827
6,2025pncmp,xgboost,115,0.7217391304347827
6,2025sccmp,lightgbm,76,0.7894736842105263
6,2025sccmp,log_reg,76,0.8421052631578947
6,2025sccmp,xgboost,76,0.7894736842105263
6,2025tnkn,lightgbm,95,0.7473684210526316
6,2025tnkn,log_reg,95,0.7789473684210526
